internal_row_id,canonical_name,score,city,sector_label,domain_tier,website,normalized_domain,address,google_category,google_maps_url,reviews_count,rating
uae-pilot-0162,Design Hub Building Contracting LLC,76,Dubai,Construction,ae_domain,https://design-hub.ae/,design-hub.ae,Villa 6 33rd St - Mankhool - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Design%20Hub%20Building%20Contracting%20LLC&query_place_id=ChIJ-8HRXIlpXz4RV_lxCwn2-gs,42,5.0
uae-pilot-0362,Qeyas Contracting L.L.C.,71,Dubai,Construction,ae_domain,http://www.qeyascontracting.ae/,qeyascontracting.ae,153 Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Qeyas%20Contracting%20L.L.C.&query_place_id=ChIJv2kGbQFDXz4ReS2z7nyiB2A,11,4.5
uae-pilot-0008,A&T Group Interiors,70,Dubai,Construction,generic_domain,https://www.atginteriors.com/,atginteriors.com,API World Tower - Sheikh Zayed Rd - Dubai - United Arab Emirates,Interior construction contractor,https://www.google.com/maps/search/?api=1&query=A%26T%20Group%20Interiors&query_place_id=ChIJi6xSCyZDXz4RNx1rEaIlqaE,164,4.7
uae-pilot-0201,Exceptional Interior Decoration LLC,66,Dubai,Construction,ae_domain,http://exceptional.ae/,exceptional.ae,30 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Exceptional%20Interior%20Decoration%20LLC&query_place_id=ChIJaTTjwe1CXz4Rw2okiZy2soo,9,4.9
uae-pilot-0251,IDX INTERIOR DECORATION LLC,66,Dubai,Construction,generic_domain,http://www.idxperts.com/,idxperts.com,"Office #121, Dubai Real Estate Centre - 153 Al Mina St - Al Mina - Dubai - United Arab Emirates",Interior fitting contractor,https://www.google.com/maps/search/?api=1&query=IDX%20INTERIOR%20DECORATION%20LLC&query_place_id=ChIJ8e4gPtcTXz4RSoFfjOM0T1A,97,4.9
uae-pilot-0395,Shine Square Building Contracting LLC,66,Dubai,Construction,generic_domain,http://www.shinesquarebuilders.com/,shinesquarebuilders.com,Sultan Business Centre - G11 - Oud Metha - Dubai - United Arab Emirates,Construction company,https://www.google.com/maps/search/?api=1&query=Shine%20Square%20Building%20Contracting%20LLC&query_place_id=ChIJ5wt1G6NpXz4RxVdQId_Mck8,80,4.9
uae-pilot-0341,OPD Architectural Consultant,76,Dubai,Architecture,ae_domain,https://opd.ae/,opd.ae,Latifa Tower - 1606 Sheikh Zayed Rd - Trade Center First - Dubai - United Arab Emirates,Architectural designer;Architecture firm,https://www.google.com/maps/search/?api=1&query=OPD%20Architectural%20Consultant&query_place_id=ChIJRYKQSdNpXz4RmGt3SMN-odY,36,5.0
uae-pilot-0137,Chawla Architectural & Consulting Engineers,75,Dubai,Architecture,ae_domain,http://www.chawladxb.ae/,chawladxb.ae,"Al Hudaiba Street, Al Fardhan Building - Dubai - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=Chawla%20Architectural%20%26%20Consulting%20Engineers&query_place_id=ChIJzcs9AvlCXz4RU3eIiqMTnd8,68,4.4
uae-pilot-0231,HAOarchitects,71,Dubai,Architecture,ae_domain,http://www.hao.ae/,hao.ae,"301 / 302, Al Tayer Building - Al Mina St - Dubai - United Arab Emirates",Architecture firm,https://www.google.com/maps/search/?api=1&query=HAOarchitects&query_place_id=ChIJwZmIDBNDXz4RrM6N4grO4J4,38,4.5
uae-pilot-0235,HDR Architectural and Consulting Engineers L.L.C,71,Dubai,Architecture,ae_domain,http://www.hdr.ae/,hdr.ae,Highrise Building - 66 - Office 107 - 1st Floor 2nd December St - Al Bada' - Dubai - United Arab Emirates,Architectural designer,https://www.google.com/maps/search/?api=1&query=HDR%20Architectural%20and%20Consulting%20Engineers%20L.L.C&query_place_id=ChIJ9eVIBO1DXz4R9nc0XyTnLjg,10,5.0
uae-pilot-0091,Arkiplan Consulting Architects and Engineers,65,Dubai,Architecture,generic_domain,http://www.arkiplan-me.com/,arkiplan-me.com,Latifa Tower - Trade Center First - Centre 1 - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=Arkiplan%20Consulting%20Architects%20and%20Engineers&query_place_id=ChIJJ9vaQPNcXz4RQlnG4Uuegjs,53,4.2
uae-pilot-0152,Core cutting dubai,61,Dubai,Architecture,generic_domain,http://www.corecuttingdubaiuae.com/,corecuttingdubaiuae.com,Mankhool - Dubai - United Arab Emirates,Architecture firm,https://www.google.com/maps/search/?api=1&query=Core%20cutting%20dubai&query_place_id=ChIJ8Y5QwBxDXz4Rj3weljfI8ek,15,4.7
